2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:49 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:49 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:50 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:50 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:50 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:50 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:50 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:50 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:50 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:50 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:50 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:50 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:50 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:50 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:51 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:51 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:51:51 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:51:51 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:14 [INFO] <SHELL-CHANNEL> Received execute_request message
2020-07-05 22:52:14 [INFO] <KERNEL> Handling execute_request message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
2020-07-05 22:52:15 [INFO] <KERNEL> Handling comm_msg message
2020-07-05 22:52:15 [INFO] <SHELL-CHANNEL> Received comm_msg message
